Voltage(mV),Current(mA/cm2)
-49.927201,23.743625
-39.926998,23.735439
-29.915299,23.733217
-19.915899,23.7338
-9.91845,23.765263
0.08285,23.765498
10.0788,23.771344
20.070599,23.774854
30.086,23.756141
40.0813,23.755438
50.079599,23.740001
60.090099,23.726668
70.084304,23.718245
80.081597,23.696724
90.0902,23.688772
100.084998,23.67614
110.078998,23.644796
120.094001,23.618714
130.089998,23.582806
140.085995,23.541286
150.095001,23.496258
160.093993,23.458363
170.086995,23.431463
180.097997,23.420467
190.093994,23.401402
200.103,23.384679
210.097,23.361053
220.089003,23.333451
230.103001,23.298129
240.094006,23.269356
250.08601,23.252516
260.100991,23.224094
270.09201,23.187135
280.086011,23.144444
290.098995,23.088655
300.092012,23.048303
310.086995,22.996375
320.098013,22.949591
330.089986,22.892513
340.086997,22.830643
350.098997,22.766199
360.089988,22.689941
370.088995,22.587252
380.100012,22.520351
390.096009,22.505263
400.103986,22.467836
410.100996,22.417894
420.094997,22.336959
430.103987,22.248655
440.100014,22.152047
450.091004,22.073216
460.103989,21.96655
470.097005,21.867251
480.094999,21.753099
490.10399,21.626549
500.09799,21.476608
510.092974,21.343158
520.102978,21.250995
530.097008,21.152748
540.089011,21.034503
550.104976,20.935907
560.097992,20.777661
570.089996,20.597076
580.097973,20.432749
590.093017,20.251228
600.106001,20.061403
610.096991,19.854502
620.094001,19.63497
630.097985,19.394854
640.098989,19.159182
650.085986,18.930059
660.10201,18.6931
670.095026,18.444093
680.085003,18.175088
690.099001,17.890527
700.089991,17.579532
710.083008,17.270526
720.094025,16.952749
730.090022,16.605614
740.082026,16.241638
750.096977,15.861638
760.096014,15.476491
770.08301,15.045146
780.094028,14.595907
790.086985,14.138596
800.101995,13.662456
810.099006,13.172515
820.091009,12.676257
830.1,12.154035
840.094984,11.608877
850.090027,11.021965
860.096991,10.405965
870.090008,9.751333
880.083978,9.06014
890.097976,8.327614
900.084019,7.564257
910.079002,6.753251
920.086026,5.902725
930.078983,5.009134
940.07498,4.070093
950.083971,3.079532
960.079014,2.038129
970.071018,0.942716
980.082989,-0.214284
990.072012,-1.41586
1000.079989,-2.678012
1010.509968,-4.051263
1020.509958,-5.426374
1030.480027,-6.86524
1040.459991,-8.363719
1050.53997,-9.937825
1060.520053,-11.551088
1070.490003,-13.216257
1080.450058,-14.93345
1090.549946,-16.720584
1100.520015,-18.532397
1100.530028,-18.49462
1090.549946,-16.578012
1080.469966,-14.688655
1070.500016,-12.869591
1060.529947,-11.101602
1050.549984,-9.385859
1040.449977,-7.707895
1030.480027,-6.109778
1020.49005,-4.57145
1010.499954,-3.092246
1000.079989,-1.634655
990.068972,-0.28864
980.080009,0.996255
970.067978,2.23324
960.074008,3.40607
950.079978,4.523614
940.073013,5.585813
930.07803,6.580772
920.081973,7.523544
910.075009,8.407392
900.080025,9.241205
890.087008,10.020526
880.075991,10.751801
870.083988,11.434807
860.090017,12.082339
850.081027,12.709473
840.089023,13.296491
830.09398,13.838947
820.080996,14.345965
810.087979,14.811461
800.096989,15.249006
790.084004,15.650643
780.089021,16.024211
770.078003,16.403977
760.093987,16.728771
750.092983,17.030644
740.082026,17.320585
730.090976,17.590175
720.091999,17.842808
710.081995,18.076258
700.088024,18.290526
690.097988,18.494035
680.085003,18.717076
670.093,18.928655
660.100996,19.132281
650.086999,19.324445
640.094995,19.493801
630.105019,19.65614
620.091021,19.801286
610.094011,19.942689
600.102007,20.082456
590.089023,20.219182
580.093026,20.359298
570.084989,20.477778
560.091019,20.59228
550.099015,20.706083
540.085018,20.84386
530.094028,21.01731
520.098984,21.187018
510.089993,21.336023
500.093997,21.468305
490.099996,21.609708
480.091989,21.720701
470.093012,21.831345
460.101008,21.942573
450.087994,22.02421
440.097004,22.110175
430.101991,22.179065
420.091003,22.261404
410.097003,22.38807
400.10199,22.519999
390.094012,22.640818
380.100012,22.731696
370.086998,22.81766
360.089988,22.883274
350.100011,22.953098
340.08801,23.012984
330.092996,23.061053
320.102006,23.096958
310.090989,23.130643
300.096989,23.189358
290.098995,23.274034
280.086994,23.349123
270.092994,23.40772
260.100007,23.444679
250.08601,23.471812
240.090996,23.49497
230.101004,23.498715
220.087007,23.507486
210.094005,23.508071
200.097993,23.522455
190.089002,23.536139
180.093005,23.554387
170.081005,23.602105
160.089001,23.636725
150.092006,23.660819
140.082002,23.667603
130.087003,23.671227
120.094001,23.662807
110.078,23.655907
100.083001,23.65696
90.087503,23.639064
80.077097,23.624443
70.081398,23.629122
60.085699,23.650174
50.0791,23.651931
40.0814,23.672515
30.0876,23.680818
20.074099,23.69497
10.0827,23.700351
0.080109,23.696958
-9.91714,23.689941
-19.913601,23.67614
-29.9125,23.669942
-39.923199,23.670761
-49.9225,23.678947
