Angle,Intensity
5.00656514,779
5.019695423,779
5.032825705,787
5.045955988,774
5.059086271,747
5.072216553,766
5.085346836,744
5.098477119,762
5.111607401,738
5.124737684,779
5.137867967,728
5.150998249,767
5.164128532,761
5.177258815,774
5.190389097,795
5.20351938,741
5.216649663,721
5.229779946,708
5.242910228,770
5.256040511,758
5.269170794,740
5.282301076,760
5.295431359,761
5.308561642,717
5.321691924,775
5.334822207,739
5.34795249,745
5.361082772,736
5.374213055,712
5.387343338,811
5.40047362,779
5.413603903,749
5.426734186,722
5.439864468,762
5.452994751,750
5.466125034,759
5.479255316,753
5.492385599,738
5.505515882,773
5.518646164,807
5.531776447,760
5.54490673,768
5.558037012,701
5.571167295,725
5.584297578,737
5.59742786,732
5.610558143,703
5.623688426,757
5.636818708,686
5.649948991,771
5.663079274,761
5.676209557,707
5.689339839,750
5.702470122,736
5.715600405,791
5.728730687,767
5.74186097,719
5.754991253,781
5.768121535,785
5.781251818,783
5.794382101,791
5.807512383,695
5.820642666,739
5.833772949,803
5.846903231,696
5.860033514,725
5.873163797,776
5.886294079,723
5.899424362,730
5.912554645,708
5.925684927,743
5.93881521,707
5.951945493,735
5.965075775,740
5.978206058,699
5.991336341,708
6.004466623,733
6.017596906,684
6.030727189,779
6.043857471,760
6.056987754,722
6.070118037,689
6.083248319,753
6.096378602,762
6.109508885,734
6.122639168,732
6.13576945,705
6.148899733,738
6.162030016,690
6.175160298,768
6.188290581,720
6.201420864,673
6.214551146,699
6.227681429,703
6.240811712,719
6.253941994,731
6.267072277,705
6.28020256,766
6.293332842,763
6.306463125,717
6.319593408,795
6.33272369,690
6.345853973,700
6.358984256,681
6.372114538,714
6.385244821,676
6.398375104,716
6.411505386,686
6.424635669,740
6.437765952,719
6.450896234,731
6.464026517,770
6.4771568,696
6.490287082,738
6.503417365,711
6.516547648,704
6.52967793,758
6.542808213,712
6.555938496,676
6.569068779,771
6.582199061,737
6.595329344,711
6.608459627,694
6.621589909,755
6.634720192,726
6.647850475,710
6.660980757,701
6.67411104,733
6.687241323,735
6.700371605,757
6.713501888,630
6.726632171,765
6.739762453,694
6.752892736,735
6.766023019,688
6.779153301,674
6.792283584,731
6.805413867,735
